run_id,task,probe,group,job_type,key,code_sha,git_sha,stage,created
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.8_b0_s4_cb93917b,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.8_b0_s4,cb93917b,cb93917b,confirm,2026-07-20T07:12:56+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr3.2_b0.5_s0_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr3.2_b0.5_s0,11d8d1f6,11d8d1f6,confirm,2026-07-19T21:00:53+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr3.2_b0.5_s1_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr3.2_b0.5_s1,11d8d1f6,11d8d1f6,confirm,2026-07-19T21:22:24+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr3.2_b0.5_s2_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr3.2_b0.5_s2,11d8d1f6,11d8d1f6,confirm,2026-07-19T21:43:55+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr3.2_b0.95_s0_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr3.2_b0.95_s0,11d8d1f6,11d8d1f6,confirm,2026-07-19T20:59:55+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr3.2_b0.95_s1_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr3.2_b0.95_s1,11d8d1f6,11d8d1f6,confirm,2026-07-19T21:21:22+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr3.2_b0.95_s2_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr3.2_b0.95_s2,11d8d1f6,11d8d1f6,confirm,2026-07-19T21:42:30+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr3.2_b0.99_s0_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr3.2_b0.99_s0,11d8d1f6,11d8d1f6,confirm,2026-07-19T20:57:02+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr3.2_b0.99_s1_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr3.2_b0.99_s1,11d8d1f6,11d8d1f6,confirm,2026-07-19T21:17:53+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr3.2_b0.99_s2_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr3.2_b0.99_s2,11d8d1f6,11d8d1f6,confirm,2026-07-19T21:38:42+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr3.2_b0.9_s0_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr3.2_b0.9_s0,11d8d1f6,11d8d1f6,confirm,2026-07-19T20:58:49+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr3.2_b0.9_s1_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr3.2_b0.9_s1,11d8d1f6,11d8d1f6,confirm,2026-07-19T21:20:09+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr3.2_b0.9_s2_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr3.2_b0.9_s2,11d8d1f6,11d8d1f6,confirm,2026-07-19T21:41:22+00:00
